EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
2,6,"[2, 3, 4, 10]","[47, 56]",315.0
5,2,[36],[11],324.5
29,8,"[0, 3, 6, 7, 8, 10]","[36, 37]",312.625
35,0,[],[],0
63,2,[],"[30, 31]",277.5
77,0,[],[],0
96,1,[51],[],334.0
97,6,"[41, 63]","[8, 26, 27, 28]",291.1666666666667
100,4,[15],"[22, 23, 33]",299.0
106,1,[],[49],236.0
107,4,[15],"[5, 25, 29]",319.0
111,0,[],[],0
115,3,"[8, 9]",[2],351.0
118,3,[24],"[8, 9]",284.3333333333333
124,2,[7],[33],317.0
126,2,[24],[40],352.0
130,5,"[3, 24, 25, 26]",[14],317.4
133,3,[61],"[15, 16]",385.0
135,0,[],[],0
136,6,"[11, 14, 55, 56]","[1, 37]",322.1666666666667
151,5,"[50, 51, 52, 53]",[47],322.0
155,1,[17],[],361.0
165,5,[],"[45, 46, 51, 53, 54]",254.2
166,2,"[18, 19]",[],315.0
168,5,"[1, 2]","[13, 53, 58]",289.0
179,3,"[5, 24]",[35],314.3333333333333
185,5,"[10, 11]","[34, 35, 36]",352.6
194,6,"[1, 29, 30, 36]","[18, 20]",368.0
213,1,[34],[],308.0
214,1,[],[31],316.0
216,4,[19],"[4, 33, 41]",313.0
223,2,[9],[32],354.5
231,4,"[5, 6, 26]",[31],490.75
234,7,"[4, 60, 61, 62, 63]","[37, 38]",319.7142857142857
235,2,[54],[34],327.0
237,4,[7],"[10, 11, 20]",294.0
241,1,[9],[],283.0
247,0,[],[],0
255,0,[],[],0
261,4,[1],"[37, 38, 56]",353.75
271,2,"[5, 14]",[],277.5
284,0,[],[],0
297,4,"[1, 2, 37]",[58],277.25
304,5,"[1, 2]","[5, 10, 11]",465.6
306,6,"[11, 12]","[26, 27, 28, 35]",276.0
320,0,[],[],0
331,6,"[11, 29, 30, 33]","[15, 43]",303.0
344,3,"[18, 19]",[44],272.0
349,2,"[0, 8]",[],232.0
353,3,[],"[39, 40, 46]",276.0
365,3,[],"[22, 23, 24]",277.3333333333333
378,7,[3],"[16, 17, 35, 36, 48, 49]",330.85714285714283
381,3,[],"[19, 21, 22]",328.3333333333333
384,7,"[1, 2, 7, 8, 9, 48]",[51],290.2857142857143
387,2,[22],[47],319.0
391,4,[0],"[45, 51, 52]",330.0
393,3,[9],"[8, 28]",307.6666666666667
395,2,[35],[23],362.5
399,5,[0],"[41, 42, 44, 56]",306.4
408,3,[],"[34, 35, 36]",299.3333333333333
414,1,[4],[],330.0
436,5,"[11, 12, 24]","[0, 60]",323.4
439,4,"[6, 7]","[60, 63]",286.0
440,6,[],"[20, 21, 22, 23, 31, 32]",318.3333333333333
446,0,[],[],0
450,3,[],"[16, 21, 22]",267.6666666666667
479,4,"[3, 4]","[12, 46]",303.75
481,2,[],"[13, 14]",454.0
487,4,"[7, 8, 9]",[23],297.75
506,5,"[29, 30, 55]","[27, 28]",336.6
513,1,[13],[],404.0
514,3,[28],"[21, 22]",301.6666666666667
529,2,[35],[16],275.0
534,0,[],[],0
536,0,[],[],0
538,6,"[2, 3]","[14, 18, 19, 39]",338.8333333333333
539,8,[2],"[30, 31, 33, 34, 47, 60, 61]",324.25
540,3,[7],"[19, 42]",317.3333333333333
549,3,[43],"[41, 59]",313.6666666666667
554,2,"[19, 20]",[],249.0
558,6,"[8, 11]","[25, 27, 28, 29]",303.1666666666667
559,8,"[7, 33]","[20, 24, 25, 26, 27, 28]",298.625
560,4,"[36, 37]","[48, 49]",264.0
569,3,[19],"[1, 2]",271.0
570,4,"[38, 39]","[11, 12]",272.75
577,4,[],"[35, 38, 40, 41]",310.5
580,10,"[2, 9, 10, 11, 12, 14, 15, 38, 39]",[0],391.9
584,5,"[2, 3, 4]","[28, 29]",424.8
592,2,[8],[38],306.0
594,2,[21],[0],348.5
618,3,[],"[46, 48, 49]",416.3333333333333
621,3,"[4, 38]",[55],258.6666666666667
622,3,[0],"[55, 56]",384.0
636,4,"[35, 41]","[57, 58]",291.75
654,2,[1],[16],295.5
658,3,"[4, 5]",[36],268.6666666666667
660,4,"[6, 33]","[45, 46]",283.0
663,1,[35],[],263.0
666,2,"[24, 50]",[],347.5
678,4,"[27, 28]","[14, 15]",324.0
700,7,"[9, 51]","[32, 33, 35, 36, 57]",272.42857142857144
703,4,[0],"[45, 53, 54]",390.25
712,1,[],[46],394.0
719,2,[10],[0],317.0
732,0,[],[],0
736,6,[],"[55, 56, 59, 60, 62, 63]",333.5
740,5,"[7, 8]","[12, 13, 27]",294.4
744,2,[10],[6],329.5
768,2,[],"[6, 7]",228.5
771,6,"[14, 15, 16, 44]","[25, 26]",299.0
774,1,[],[63],363.0
779,3,[9],"[19, 51]",266.3333333333333
781,1,[],[52],296.0
786,5,"[8, 60]","[43, 44, 51]",302.2
797,4,"[4, 13]","[6, 63]",281.5
802,0,[],[],0
806,5,"[0, 2]","[6, 15, 16]",395.2
811,2,[0],[54],320.0
813,1,[11],[],382.0
818,3,[10],"[15, 16]",305.3333333333333
823,2,[1],[18],305.5
832,2,[],"[35, 36]",271.5
845,3,"[24, 35]",[63],295.6666666666667
854,1,[18],[],362.0
858,2,"[1, 2]",[],270.5
861,2,[],"[62, 63]",288.5
862,1,[13],[],343.0
864,9,"[1, 2]","[44, 45, 46, 51, 54, 55, 56]",371.55555555555554
868,5,[1],"[52, 53, 54, 55]",400.0
876,2,[25],[59],322.5
878,2,[13],[56],309.0
893,4,"[4, 7, 26]",[45],319.75
901,2,[42],[19],334.0
904,4,"[50, 51, 52]",[14],338.5
908,2,"[2, 3]",[],276.5
912,3,"[51, 52]",[9],298.6666666666667
918,2,[4],[33],345.0
920,1,[23],[],238.0
922,2,[21],[55],316.5
925,6,"[5, 6]","[23, 36, 37, 41]",419.3333333333333
933,4,"[29, 30]","[24, 25]",276.25
941,2,[9],[31],349.5
943,3,[24],"[13, 14]",274.0
946,1,[],[29],353.0
953,4,[4],"[32, 33, 34]",310.75
959,4,[],"[44, 45, 48, 49]",411.5
964,3,"[17, 46]",[48],299.3333333333333
966,6,"[5, 6]","[24, 25, 33, 41]",347.5
968,2,[],"[14, 15]",503.5
970,0,[],[],0
983,2,[33],[19],335.5
986,3,"[35, 36]",[27],274.3333333333333
990,4,"[15, 16]","[35, 36]",269.0
997,0,[],[],0
1005,1,[],[27],263.0
1006,4,"[40, 41, 51]",[41],366.5
1030,2,[3],[53],328.5
1042,4,[],"[52, 53, 55, 56]",343.75
1048,3,[],"[59, 60, 61]",327.3333333333333
1063,1,[22],[],287.0
1068,2,"[15, 19]",[],305.5
1073,2,[46],[0],315.0
1079,2,[34],[26],229.5
1089,0,[],[],0
1101,0,[],[],0
1102,5,"[1, 2, 6]","[3, 4]",277.0
1107,2,"[7, 8]",[],329.0
1109,5,[9],"[46, 47, 48, 60]",308.2
1113,0,[],[],0
1117,3,[],"[31, 38, 39]",402.3333333333333
1118,3,[24],"[26, 27]",262.0
1131,5,[],"[48, 49, 50, 51, 52]",311.0
1138,2,[6],[41],304.5
1152,3,"[29, 30]",[52],288.0
1162,4,[15],"[31, 39, 40]",331.5
1170,4,"[0, 11, 13]",[45],287.25
