EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
8,2,[6],[39],8163.5
12,3,"[0, 7]",[60],6554.666666666667
16,3,[6],"[25, 26]",8165.666666666667
18,1,[21],[],8164.0
50,2,[3],[34],6793.0
52,5,[15],"[25, 26, 56, 58]",6108.2
54,1,[],[39],6003.0
55,2,[9],[46],7262.5
58,0,[],[],0
70,4,[],"[48, 49, 50, 51]",7570.0
77,0,[],[],0
78,1,[],[38],6505.0
79,4,"[27, 28, 38]",[18],7359.0
85,1,[6],[],8115.0
86,1,[22],[],7221.0
92,4,[],"[39, 44, 45, 48]",7645.5
93,2,[6],[24],7073.0
96,1,[],[62],8170.0
101,3,[9],"[7, 33]",6885.666666666667
108,3,[12],"[4, 26]",8058.0
109,3,[7],"[17, 20]",7708.333333333333
119,5,"[10, 11, 12, 13]",[0],7842.2
129,3,[],"[31, 35, 37]",7090.0
133,1,[11],[],8191.0
145,2,[4],[57],8081.5
147,3,[],"[57, 60, 62]",7443.666666666667
153,4,[8],"[30, 31, 36]",7078.5
156,0,[],[],0
162,3,[10],"[18, 19]",6886.0
184,5,[],"[36, 37, 38, 39, 40]",7874.6
199,2,[16],[61],7671.0
211,2,[1],[49],7835.5
215,0,[],[],0
228,4,[12],"[43, 57, 63]",6775.0
229,3,[2],"[43, 44]",8152.0
231,2,[46],[19],7525.0
235,1,[34],[],8141.0
238,4,"[11, 14, 19]",[38],7594.5
277,0,[],[],0
291,5,"[5, 6, 14, 15]",[10],7376.0
296,1,[],[34],6774.0
299,0,[],[],0
318,3,[],"[22, 23, 24]",8149.333333333333
319,3,"[1, 2]",[32],7458.0
321,2,[],"[24, 25]",8159.0
326,1,[],[56],6969.0
333,0,[],[],0
334,3,[],"[42, 43, 53]",6711.333333333333
347,3,"[0, 5]",[57],8174.333333333333
351,4,"[21, 48, 59]",[59],7231.5
352,3,[],"[37, 57, 58]",7661.0
354,1,[],[40],8165.0
357,2,[62],[0],7204.0
370,2,[8],[50],7478.0
371,1,[19],[],8108.0
378,1,[17],[],8136.0
381,0,[],[],0
386,4,"[1, 2, 3]",[52],7709.5
388,7,[3],"[9, 37, 41, 42, 43, 44]",7875.714285714285
397,0,[],[],0
424,1,[2],[],7301.0
426,2,[62],[52],7874.5
436,0,[],[],0
455,3,"[28, 29]",[22],6626.0
456,1,[],[37],7476.0
460,0,[],[],0
470,2,[27],[1],7512.5
474,1,[8],[],8155.0
475,3,[1],"[5, 7]",6334.333333333333
483,0,[],[],0
495,4,[],"[55, 56, 57, 60]",6496.0
498,3,[],"[54, 55, 58]",7324.0
506,5,[0],"[51, 55, 57, 61]",7677.6
508,0,[],[],0
513,2,[14],[22],7786.0
528,3,[],"[41, 56, 63]",6932.333333333333
532,3,"[4, 8]",[40],7380.333333333333
534,1,[18],[],8168.0
540,0,[],[],0
548,3,[],"[35, 36, 44]",7785.666666666667
552,0,[],[],0
555,0,[],[],0
556,2,[],"[47, 58]",6467.0
561,3,"[4, 24]",[5],7478.0
563,2,[7],[46],7368.0
566,2,[17],[59],7303.0
