EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
8,0,[],[],0
15,1,[],[59],7370.0
17,3,[2],"[58, 59]",8149.666666666667
25,1,[2],[],8133.0
26,0,[],[],0
28,2,[20],[10],8191.0
32,1,[32],[],8149.0
33,2,[],"[16, 42]",6835.0
38,0,[],[],0
45,1,[],[34],5618.0
54,2,[],"[10, 11]",6894.0
62,4,"[11, 26, 62]",[2],7089.75
72,3,"[0, 23]",[37],7513.666666666667
91,1,[1],[],8157.0
95,1,[19],[],8108.0
99,1,[],[28],5959.0
101,2,[],"[30, 31]",8169.0
104,1,[9],[],8191.0
122,2,[5],[42],8175.5
165,0,[],[],0
179,4,"[9, 12, 18]",[20],7164.75
184,3,[22],"[30, 60]",7304.333333333333
188,1,[],[61],6141.0
197,1,[],[26],7560.0
240,2,[],"[49, 52]",6897.5
242,3,[62],"[29, 45]",7437.0
249,1,[36],[],8179.0
255,5,[0],"[55, 56, 57, 58]",8042.0
256,5,"[34, 36, 46, 47]",[41],7384.2
260,4,[],"[36, 40, 41, 42]",7787.0
261,2,[4],[38],7334.0
263,3,[45],"[50, 56]",7925.333333333333
270,5,[10],"[39, 41, 42, 54]",7338.6
279,1,[9],[],8191.0
304,4,[10],"[0, 20, 23]",6797.0
306,1,[43],[],6778.0
314,1,[30],[],8049.0
315,3,[3],"[9, 14]",7712.333333333333
323,4,[14],"[6, 24, 26]",8157.5
327,3,[9],"[24, 47]",6999.0
338,3,[0],"[18, 19]",8185.333333333333
345,1,[36],[],8179.0
347,1,[0],[],8191.0
356,2,[37],[13],6464.0
358,1,[18],[],8168.0
360,3,"[22, 57]",[27],6121.333333333333
367,0,[],[],0
376,0,[],[],0
389,2,[39],[28],7494.0
393,1,[8],[],8191.0
396,3,"[9, 50]",[17],7389.333333333333
399,0,[],[],0
412,0,[],[],0
426,3,[28],"[28, 35]",8033.666666666667
428,1,[12],[],8173.0
439,0,[],[],0
447,0,[],[],0
460,4,"[54, 55, 57]",[60],7874.0
463,0,[],[],0
473,1,[2],[],7848.0
475,3,[],"[1, 9, 11]",7727.333333333333
478,1,[63],[],8191.0
486,5,"[5, 8, 22, 23]",[5],7302.4
492,2,[63],[41],8169.0
494,2,[],"[16, 17]",8150.5
500,1,[],[10],7782.0
502,2,[30],[30],7409.0
514,6,"[0, 1, 2, 3, 8]",[60],7832.166666666667
534,0,[],[],0
536,1,[14],[],8148.0
539,1,[4],[],8158.0
541,2,[30],[40],8107.0
546,2,[],"[43, 44]",7951.0
555,3,[],"[41, 43, 45]",7268.666666666667
557,3,[0],"[8, 9]",8172.333333333333
590,2,[34],[15],8164.5
607,2,[21],[19],5904.0
