EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
8,0,[],[],0
15,2,[],"[58, 59]",267.0
17,3,[2],"[58, 59]",557.0
26,1,[],[15],239.0
28,2,[20],[10],353.0
32,1,[32],[],417.0
33,3,[],"[16, 17, 42]",269.3333333333333
38,0,[],[],0
45,1,[],[34],257.0
54,2,[],"[10, 11]",301.0
95,1,[19],[],342.0
99,1,[],[28],270.0
101,3,[],"[24, 30, 31]",380.0
104,2,[9],[1],298.5
165,0,[],[],0
184,5,[22],"[30, 57, 58, 60]",281.8
188,1,[],[61],277.0
197,3,[22],"[26, 62]",267.3333333333333
211,6,"[3, 4, 37, 51, 61]",[25],330.3333333333333
240,3,[],"[49, 50, 52]",281.6666666666667
249,1,[36],[],477.0
255,5,[0],"[55, 56, 57, 58]",402.2
260,5,[],"[36, 39, 40, 41, 42]",312.2
261,2,[4],[38],326.5
263,3,[45],"[50, 56]",346.0
270,5,[10],"[39, 41, 42, 54]",355.6
279,1,[9],[],343.0
304,6,[10],"[0, 1, 13, 20, 23]",278.0
314,1,[30],[],446.0
323,6,[14],"[5, 6, 23, 24, 26]",310.3333333333333
338,3,[0],"[18, 19]",566.6666666666666
345,1,[36],[],328.0
347,1,[0],[],389.0
356,2,[37],[13],283.0
358,2,[18],[22],326.5
360,5,"[22, 27, 56, 57]",[27],264.0
367,0,[],[],0
376,0,[],[],0
389,2,[39],[28],310.0
396,4,"[9, 50, 51]",[17],299.5
399,0,[],[],0
412,0,[],[],0
426,3,[28],"[28, 35]",358.0
428,1,[12],[],331.0
439,0,[],[],0
447,0,[],[],0
460,4,"[54, 55, 57]",[60],378.5
463,0,[],[],0
475,4,[],"[1, 8, 9, 11]",323.0
478,1,[63],[],376.0
486,5,"[5, 8, 22, 23]",[5],338.6
492,2,[63],[41],442.0
496,3,"[3, 13]",[57],323.3333333333333
500,2,[],"[9, 10]",276.0
502,3,"[30, 31]",[30],309.3333333333333
514,7,"[0, 1, 2, 3, 7, 8]",[60],355.7142857142857
534,0,[],[],0
536,2,[14],[0],272.5
539,1,[4],[],391.0
541,3,[30],"[38, 40]",310.6666666666667
546,2,[],"[43, 44]",316.0
555,3,[],"[41, 43, 45]",307.3333333333333
557,4,[0],"[7, 8, 9]",393.75
590,2,[34],[15],420.0
607,2,[21],[19],272.0
625,3,[33],"[7, 8]",276.6666666666667
632,6,[2],"[19, 22, 25, 26, 30]",316.1666666666667
634,6,[39],"[0, 1, 38, 39, 40]",359.1666666666667
636,1,[],[60],281.0
656,1,[],[42],232.0
678,3,[7],"[0, 13]",316.6666666666667
681,5,[0],"[4, 5, 14, 15]",301.8
683,1,[],[49],315.0
706,1,[],[52],325.0
708,1,[1],[],239.0
711,3,[13],"[22, 23]",360.0
722,1,[12],[],319.0
740,4,[0],"[21, 22, 28]",308.5
765,2,[5],[11],302.5
767,3,"[5, 9]",[52],315.6666666666667
774,3,[12],"[53, 54]",282.3333333333333
792,3,"[32, 33]",[63],255.66666666666666
793,3,[],"[27, 32, 33]",313.3333333333333
796,2,[],"[38, 41]",305.0
802,4,"[46, 47, 48]",[44],332.0
813,4,[17],"[4, 17, 18]",279.75
838,3,[6],"[5, 6]",317.6666666666667
860,2,[],"[5, 6]",434.5
866,0,[],[],0
879,6,[0],"[8, 9, 10, 11, 25]",405.5
882,3,"[6, 7]",[43],278.3333333333333
883,3,"[7, 63]",[31],374.6666666666667
885,3,[16],"[59, 60]",265.3333333333333
894,3,[],"[21, 22, 23]",380.6666666666667
900,1,[26],[],309.0
